"batch","times","hrs","min","sec","lightsoff","ztime"
1,"startTime",10,36,52,11,-1388
1,"firstInteraction",10,41,3,11,-1137
2,"startTime",10,37,0,11,-1380
2,"firstInteraction",10,42,30,11,-1050
3,"startTime",10,59,51,11,-9
3,"firstInteraction",11,0,54,11,54
4,"startTime",9,36,36,10,-1404
4,"firstInteraction",9,37,23,10,-1357
5,"startTime",9,37,52,10,-1328
5,"firstInteraction",9,38,22,10,-1298
6,"startTime",9,35,0,10,-1500
6,"firstInteraction",9,38,42,10,-1278
7,"startTime",9,33,41,10,-1579
7,"firstInteraction",9,44,34,10,-926
8,"startTime",9,35,7,10,-1493
8,"firstInteraction",9,35,34,10,-1466
9,"startTime",9,37,15,10,-1365
9,"firstInteraction",9,37,34,10,-1346
10,"startTime",9,36,12,10,-1428
10,"firstInteraction",9,37,8,10,-1372
11,"startTime",9,36,47,10,-1393
11,"firstInteraction",9,37,51,10,-1329
12,"startTime",9,35,0,10,-1500
12,"firstInteraction",9,38,49,10,-1271
13,"startTime",9,35,47,10,-1453
13,"firstInteraction",9,37,57,10,-1323
14,"startTime",9,36,0,10,-1440
14,"firstInteraction",9,36,57,10,-1383
