"symbol","reg"
"Ezr","Up"
"Il1r1","Up"
"Cpped1","Up"
"Fstl1","Up"
"Fam13c","Up"
"Ctla2a","Up"
"Wfdc18","Up"
"Olfml2b","Up"
"Pex10","Up"
"Atg10","Up"
"Pdcd6","Up"
"Trip10","Up"
"Slc7a4","Up"
"Slc37a3","Up"
"Slc15a2","Up"
"Errfi1","Up"
"Nr4a2","Up"
"Zfp536","Up"
"Ccdc80","Up"
"Acy3","Up"
"Mt2","Up"
"Plat","Up"
"Bmpr1b","Up"
"C5ar1","Up"
"Kcnk1","Up"
"Sdc4","Up"
"Stn1","Up"
"Tpm2","Up"
"Tgfbr3","Up"
"Nos3","Up"
"Thg1l","Up"
"Arl15","Up"
"Cd320","Up"
"Tpx2","Up"
"Lyz2","Up"
"Ocel1","Up"
"Car12","Up"
"Avpi1","Up"
"Gnal","Up"
"St6gal1","Up"
"Apoo","Up"
"Praf2","Up"
"Cp","Up"
"Akt2","Up"
"Phyhipl","Up"
"Phyhipl","Up"
"Ggta1","Up"
"Slc25a5","Up"
"Card19","Up"
"Kbtbd11","Up"
"Bgn","Up"
"Ccl6","Up"
"Rnf157","Up"
"Nfil3","Up"
"Igfbp7","Up"
"Smpdl3a","Up"
"Med10","Up"
"Dhrs1","Up"
"Mylk","Up"
"Abhd1","Up"
"Vim","Up"
"Smim12","Up"
"Cpne3","Up"
"S100a9","Up"
"Ngp","Up"
"Pcmtd1","Up"
"Car3","Up"
"Vps26a","Up"
"Slc24a2","Up"
"Brinp3","Up"
"Inafm2","Up"
"Mrpl36","Up"
"Ifitm1","Up"
"Suox","Up"
"Parp9","Up"
"Pecr","Up"
"Col5a2","Up"
"Ier3","Up"
"Alcam","Up"
"Chmp1b","Up"
"Htra4","Up"
"Lamc2","Up"
"Ptgs1","Up"
"Hacd2","Up"
"Cox18","Up"
"Wdsub1","Down"
"Pgap1","Down"
"Morc1","Down"
"Zbtb44","Down"
"Acly","Down"
"Nkpd1","Down"
"Spats1","Down"
"Foxo4","Down"
"Acaca","Down"
"Ntng1","Down"
"Fbxl19","Down"
"Tmem91","Down"
"Ssh1","Down"
"Slc35d1","Down"
"Thbs3","Down"
"Ppp1r14c","Down"
"Casp2","Down"
"Dhdds","Down"
"Ccser1","Down"
"Rad54l2","Down"
"Zfp202","Down"
"Epha8","Down"
"Aph1c","Down"
"Ano8","Down"
"Gtf2ird2","Down"
"Coa7","Down"
"Mak","Down"
"Ppfia4","Down"
"Whrn","Down"
"Mrm3","Down"
"Carmil3","Down"
"Fbrsl1","Down"
"Erbb3","Down"
"Col12a1","Down"
"Zfp467","Down"
"Dstyk","Down"
"Ephb2","Down"
"Lrrc75b","Down"
"Vmn2r104","Down"
"Ifnar2","Down"
"Senp1","Down"
"Prr36","Down"
"Zfp658","Down"
"Trim68","Down"
"Lman2l","Down"
"Gchfr","Down"
"Dpysl3","Down"
"Snapc4","Down"
"Cers4","Down"
"Pcdh17","Down"
"E130308A19Rik","Down"
"Alpl","Down"
"Golga4","Down"
"Ldlrad3","Down"
"Ccdc84","Down"
"Ctnna3","Down"
"Sorcs1","Down"
"Pcdh15","Down"
"Dnm3","Down"
"Myo1g","Down"
"Bend7","Down"
"Sgsm1","Down"
